S. No.,State,District,Location,Longitude,Latitude,Year,pH,EC (µS/cm at,CO3 (mg/L),HCO3,Cl (mg/L),F (mg/L),SO4,NO3,PO4,Total Hardness,Ca (mg/L),Mg (mg/L),Na (mg/L),K (mg/L),Fe (ppm),As (ppb),U (ppb)
5401,Odisha,Balangir,Kurul,83.5253,20.6678,2023,7.80,302,0,237,5,1.18,13,25,-,208,71,7,17,1,-,-,-
5402,Odisha,Balangir,Kurul,83.5253,20.6678,2023,7.95,600,0,300,13,1.44,3,5,-,202,73,5,43,2,-,-,-
5403,Odisha,Balangir,Ledarbohal,83.5022,20.7858,2023,7.47,429,0,250,7,0.86,7,1,-,154,44,10,23,1,-,-,-
5404,Odisha,Balangir,Randa,83.5633,20.7292,2023,7.69,289,0,72,23,0.49,16,18,-,68,21,4,21,2,-,-,-
5405,Odisha,Balangir,Bhadra,83.3308,20.4000,2023,7.89,767,0,283,53,0.73,29,9,-,283,95,11,31,4,-,-,-
5406,Odisha,Balangir,Dumalpada,83.3642,20.4508,2023,7.60,683,0,343,15,0.54,43,2,-,141,34,13,88,2,-,-,-
5407,Odisha,Balangir,Piprut,83.3100,20.3522,2023,7.45,1128,0,309,176,0.74,48,34,-,518,100,65,50,2,-,-,-
5408,Odisha,Balangir,Tikrapada 1,83.1325,20.5031,2023,7.64,722,0,292,59,0.73,21,20,-,276,68,26,29,2,-,-,-
5409,Odisha,Balangir,Chormara,83.2917,20.3047,2023,7.75,615,0,213,40,0.77,11,59,-,235,64,18,26,2,-,-,-
5410,Odisha,Balangir,Chormara,83.2917,20.3047,2023,7.40,1256,0,276,166,0.73,77,49,-,423,145,15,73,18,-,-,-
5411,Odisha,Balangir,Ichagaon,83.0117,20.2117,2023,6.62,76,0,24,4,0.09,2,6,-,22,7,1,2,2,-,-,-
5412,Odisha,Balangir,Jagua,82.9131,20.4356,2023,7.23,366,0,132,24,0.64,14,0,-,98,28,7,26,1,-,-,-
5413,Odisha,Balangir,Jagua,82.9131,20.4356,2023,7.82,492,0,210,9,0.44,9,9,-,107,27,10,43,4,-,-,-
5414,Odisha,Balangir,Kholan,83.0775,20.2325,2023,7.72,716,0,254,49,1.69,25,34,-,242,71,15,32,1,-,-,-
5415,Odisha,Balangir,Minapali,83.1067,20.2475,2023,7.48,230,0,59,15,0.23,5,11,-,63,18,5,10,4,-,-,-
5416,Odisha,Balangir,Rigdol,83.2425,20.2742,2023,7.55,730,0,265,26,0.60,24,19,-,251,62,23,24,2,-,-,-
5417,Odisha,Balangir,Tarasingi,83.2703,20.2864,2023,7.70,672,0,147,77,1.49,24,23,-,186,62,8,49,2,-,-,-
5418,Odisha,Balangir,Titlagarh I,83.1464,20.2869,2023,7.48,640,0,224,32,0.62,33,32,-,198,61,11,36,2,-,-,-
5419,Odisha,Balangir,Dhamanadonga,82.9092,20.4269,2023,7.57,1285,0,401,128,0.53,73,40,-,445,85,56,70,3,-,-,-
5420,Odisha,Balangir,Kantabanji,82.9278,20.4792,2023,7.42,776,0,350,39,1.09,25,22,-,291,56,37,34,1,-,-,-
5421,Odisha,Balangir,Kurli,82.9200,20.4917,2023,7.77,696,0,327,25,1.79,22,27,-,230,67,15,45,0,-,-,-
5422,Odisha,Balangir,Salandi,82.9272,20.5233,2023,8.02,197,0,72,12,0.14,3,2,-,54,14,4,9,1,-,-,-
5423,Odisha,Balangir,Tureikela,82.8075,20.5028,2023,8.09,949,0,210,156,0.48,35,16,-,315,81,27,42,4,-,-,-
5424,Odisha,Balangir,Tureikela,82.8075,20.5028,2023,7.64,1269,0,440,91,1.37,46,20,-,310,40,51,119,1,-,-,-
5425,Odisha,Bargarh,Bhukta,83.4153,21.5847,2023,8.09,834,0,320,87,0.00,41,3,-,281,57,35,55,7,-,-,-
5426,Odisha,Bargarh,Bugbugi,83.4892,21.6139,2023,7.50,124,0,40,22,1.00,0,0,-,37,6,5,8,10,-,-,-
5427,Odisha,Bargarh,"Dungri, Dw",83.5653,21.6867,2023,7.02,903,0,241,119,1.00,26,38,-,210,49,22,86,16,-,-,-
5428,Odisha,Bargarh,Karla,83.5747,21.6031,2023,7.72,206,0,34,30,1.00,27,2,-,59,15,5,21,2,-,-,-
5429,Odisha,Bargarh,Larambha,83.8339,21.3514,2023,7.85,612,0,366,25,1.00,12,3,-,189,42,21,65,8,-,-,-
5430,Odisha,Bargarh,Uttam,83.6103,21.6750,2023,7.59,488,0,197,41,1.00,17,3,-,216,53,21,13,3,-,-,-
5431,Odisha,Bargarh,Attabira1,83.7833,21.3708,2023,7.88,1611,0,280,322,0.00,91,34,-,379,118,21,196,2,-,-,-
5432,Odisha,Bargarh,Gorbhaga,83.7806,21.3806,2023,8.18,2086,0,561,281,0.00,90,42,-,475,145,28,165,154,-,-,-
5433,Odisha,Bargarh,Kodabahal 2,83.8475,21.3128,2023,7.88,283,0,93,26,0.00,23,6,-,112,32,8,15,2,-,-,-
5434,Odisha,Bargarh,"Kulunda, Dw",83.7839,21.3458,2023,8.01,495,0,234,50,0.00,18,3,-,145,39,12,55,2,-,-,-
5435,Odisha,Bargarh,"Kumelsingha, Dw",83.8531,21.3878,2023,7.73,240,0,74,20,0.00,28,0,-,94,18,12,13,2,-,-,-
5436,Odisha,Bargarh,Lakhanpur,83.6106,21.6419,2023,7.84,362S.,"No.,State,District,Location,Longitude,Latitude,Year,pH,EC",(S.,"No.,State,District,Location,Longitude,Latitude,Year,pH,EC",(µS/cm,"at,CO3","(mg/L),HCO3,Cl","(mg/L),F","(mg/L),SO4,NO3,PO4,Total","Hardness,Ca","(mg/L),Mg","(mg/L),Na","(mg/L),K","(mg/L),Fe","(ppm),As","(ppb),U",(ppb)
1.3658,2023,7.91,1861,0,588,215,1.00,56,22,-,579,145,54,100,24,-,-,-
5440,Odisha,Bargarh,Barpalli 1,83.5811,21.1725,2023,8.13,465,0,260,22,1.00,21,2,-,179,38,21,42,4,-,-,-
5441,Odisha,Bargarh,Mahada 1,83.5644,21.1311,2023,7.65,899,0,317,76,1.00,46,43,-,236,75,12,96,1,-,-,-
5442,Odisha,Bargarh,Puturipali,83.6347,21.2194,2023,7.96,461,0,130,85,0.00,42,3,-,156,45,11,45,5,-,-,-
5443,Odisha,Bargarh,"Remta, Dw",83.6178,21.2008,2023,7.98,646,0,181,65,1.00,57,27,-,235,75,12,38,6,-,-,-
5444,Odisha,Bargarh,Sarandapali,83.4933,21.2361,2023,7.96,1575,0,526,262,0.00,10,2,-,600,120,75,87,6,-,-,-
5445,Odisha,Bargarh,Kuruan,83.7397,21.2917,2023,7.83,375,0,74,35,1.00,84,4,-,131,35,11,21,20,-,-,-
5446,Odisha,Bargarh,Bargarh 3,83.6142,21.3425,2023,7.89,960,0,274,152,0.00,33,11,-,305,82,25,85,1,-,-,-
5447,Odisha,Bargarh,Dang,83.6006,21.3581,2023,8.00,774,0,259,96,0.00,59,4,-,247,65,21,75,1,-,-,-
5448,Odisha,Bargarh,Jamurda,83.6625,21.3722,2023,8.04,471,0,199,35,1.00,39,1,-,124,32,11,40,40,-,-,-
5449,Odisha,Bargarh,Kalapani,83.7086,21.3572,2023,7.92,674,0,241,62,0.00,62,4,-,266,65,26,30,9,-,-,-
5450,Odisha,Bargarh,"Khuntapali, Dw",83.6153,21.2853,2023,8.06,1428,0,438,192,0.00,52,43,-,463,102,52,85,52,-,-,-
5451,Odisha,Bargarh,"Kusanpur, Dw",83.5678,21.2506,2023,7.11,1067,0,315,189,0.00,20,0,-,285,80,21,122,8,-,-,-
5452,Odisha,Bargarh,"Rengalpali, Dw",83.5950,21.3078,2023,7.37,1704,0,499,277,0.00,16,0,-,492,125,45,129,22,-,-,-
5453,Odisha,Bargarh,Sarala,83.6558,21.4006,2023,7.86,388,0,155,32,1.00,21,3,-,145,40,11,24,4,-,-,-
5454,Odisha,Bargarh,Bhatli 1,83.5347,21.4672,2023,8.00,956,0,376,96,0.00,51,12,-,335,78,35,80,6,-,-,-
5455,Odisha,Bargarh,Chadheigaon,83.5589,21.4128,2023,8.01,436,0,200,32,0.00,6,1,-,161,36,18,28,1,-,-,-
5456,Odisha,Bargarh,Dumalpali,83.5000,21.5069,2023,8.15,665,0,301,48,1.00,18,0,-,213,41,28,58,2,-,-,-
5457,Odisha,Bargarh,Purrakhai,83.4839,21.4564,2023,8.08,1024,0,499,44,1.00,16,1,-,395,102,35,36,10,-,-,-
5458,Odisha,Bargarh,Sulsulia,83.4189,21.4486,2023,8.04,675,0,200,70,0.00,40,38,-,247,65,21,35,4,-,-,-
5459,Odisha,Bargarh,Sunajuri-Tukuria,83.5844,21.4086,2023,7.98,475,0,177,59,1.00,21,1,-,114,23,14,59,1,-,-,-
5460,Odisha,Bargarh,Baghapalli,83.7817,21.1744,2023,7.40,2881,0,499,564,0.00,188,39,-,799,168,95,315,4,-,-,-
S. No.,State,District,Location,Longitude,Latitude,Year,pH,EC (µS/cm at,CO3 (mg/L),HCO3,Cl (mg/L),F (mg/L),SO4,NO3,PO4,Total Hardness,Ca (mg/L),Mg (mg/L),Na (mg/L),K (mg/L),Fe (ppm),As (ppb),U (ppb)
5461,Odisha,Bargarh,"Bheden 1, Dw",83.7508,21.1961,2023,7.54,1569,0,333,267,0.00,57,41,-,560,114,69,71,2,-,-,-
5462,Odisha,Bargarh,Boipur,83.8819,21.2014,2023,7.92,409,0,192,26,1.00,28,2,-,144,37,13,28,5,-,-,-
5463,Odisha,Bargarh,Burda,83.7625,21.2417,2023,7.83,532,0,206,41,2.00,31,1,-,177,51,12,41,1,-,-,-
5464,Odisha,Bargarh,Chichinda,83.7911,21.2089,2023,8.11,2024,0,551,289,0.00,62,40,-,570,156,45,178,9,-,-,-
5465,Odisha,Bargarh,"Gondtarum, Dw",83.8417,21.1097,2023,7.83,337,0,130,24,1.00,25,2,-,101,32,5,14,21,-,-,-
5466,Odisha,Bargarh,"Khutlipalli, Dw",83.8700,21.2589,2023,7.85,811,0,253,110,0.00,19,39,-,292,83,21,46,4,-,-,-
5467,Odisha,Bargarh,Resham,83.6836,21.1361,2023,7.96,354,0,77,37,0.00,53,14,-,150,41,12,14,1,-,-,-
5468,Odisha,Bargarh,"Rusuda 1, Dw",83.8456,21.1664,2023,7.90,1264,0,384,154,1.00,92,33,-,495,115,52,69,5,-,-,-
5469,Odisha,Bargarh,Satlama 1,83.6228,21.1431,2023,7.99,1370,0,506,142,0.00,24,2,-,489,113,52,73,4,-,-,-
5470,Odisha,Bargarh,Sikirdi,83.6264,21.1597,2023,7.85,316,0,68,20,0.00,65,23,-,134,34,12,15,2,-,-,-
5471,Odisha,Bargarh,Thuapali1,83.7911,21.2667,2023,8.06,424,0,93,32,0.00,52,38,-,158,39,15,23,1,-,-,-
5472,Odisha,Bargarh,Burdapali,83.4692,21.1594,2023,7.93,1526,0,781,115,1.00,16,6,-,369,85,39,185,1,-,-,-
5473,Odisha,Bargarh,Kharmunda 1,83.4897,21.1353,2023,7.90,572,0,255,47,1.00,73,4,-,321,95,21,8,1,-,-,-
5474,Odisha,Bargarh,Dangabahal 1,83.3528,20.9425,2023,8.06,1952,0,592,250,1.00,89,43,-,588,152,52,136,83,-,-,-
5475,Odisha,Bargarh,Gaisilet3,83.3150,20.9622,2023,8.04,2934,0,568,543,0.00,133,44,-,605,122,75,352,22,-,-,-
5476,Odisha,Bargarh,Jagalpet,83.3514,20.8931,2023,7.88,251,0,110,30,0.00,15,2,-,90,28,5,22,5,-,-,-
5477,Odisha,Bargarh,Kansdhol 1,83.3719,20.9244,2023,7.68,537,0,192,81,0.00,13,20,-,165,45,13,56,15,-,-,-
5478,Odisha,Bargarh,Kantabahal,83.2025,20.9425,2023,7.69,529,0,255,36,1.00,4,6,-,151,36,15,29,41,-,-,-
5479,Odisha,Bargarh,Hirapur,82.8189,20.9639,2023,7.89,1610,0,525,165,2.30,165,6,-,347,58,49,209,5,-,-,-
5480,Odisha,Bargarh,Majhipali,82.8867,20.9519,2023,7.66,1149,0,327,133,0.44,97,3,-,315,76,30,74,33,-,-,-
5481,Odisha,Bargarh,Majhipali,82.8867,20.9519,2023,7.28,1907,0,535,76,0.90,87,224,-,342,44,56,185,1,-,-,-
5482,Odisha,Bargarh,Malada,82.9339,20.9542,2023,7.69,510,0,276,19,0.44,3,3,-,200,65,9,14,7,-,-,-
5483,Odisha,Bargarh,Mithapali,82.7933,20.9058,2023,7.31,1087,0,296,138,0.48,41,5,-,229,59,20,103,2,-,-,-
5484,Odisha,Bargarh,Nrusingnath,82.8225,20.8989,2023,8.04,982,0,337,116,0.46,61,2,-,352,103,23,53,5,-,-,-
5485,Odisha,Bargarh,Padampur 2,83.0711,20.9992,2023,7.48,2382,0,629,346,1.00,104,42,-,900,256,65,119,42,-,-,-
5486,Odisha,Bargarh,Batetarma,83.2578,21.1442,2023,7.74,670,0,192,96,0.00,36,13,-,159,35,18,65,23,-,-,-
5487,Odisha,Bargarh,Ghens 1,83.2853,21.1897,2023,7.65,1051,0,367,113,1.00,67,14,-,231,45,30,150,5,-,-,-
5488,Odisha,Bargarh,Grinjal,83.3742,21.3367,2023,7.39,1987,0,588,186,1.00,121,44,-,493,125,45,135,56,-,-,-
5489,Odisha,Bargarh,Sohela 1,83.3981,21.2944,2023,7.51,1591,0,461,267,1.00,18,1,-,551,101,75,107,4,-,-,-
5490,Odisha,Bargarh,"Tora, Dw",83.6203,21.3372,2023,7.89,281,0,106,23,1.00,20,2,-,87,21,9,27,1,-,-,-
5491,Odisha,Cuttack,Athagarh-1,85.6169,20.5089,2023,5.32,303,0,10,34,0.00,1,56,-,40,9,4,27,4,-,-,-
5492,Odisha,Cuttack,Khuntuni 1,85.7264,20.5628,2023,7.18,567,0,129,45,0.00,20,24,-,100,27,8,29,36,-,-,-
5493,Odisha,Cuttack,"Megha, Dw",85.7078,20.4528,2023,7.78,670,0,150,50,0.00,73,2,-,218,46,25,25,1,-,-,-
5494,Odisha,Cuttack,Oranda,85.8011,20.5436,2023,7.74,110,0,19,8,0.00,4,14,-,23,5,2,8,2,-,-,-
5495,Odisha,Cuttack,"Radha Gobindapur,",85.6381,20.5092,2023,6.58,91,0,9,12,0.00,2,5,-,15,4,1,6,1,-,-,-
5496,Odisha,Cuttack,"Rajnagar, Another",85.6769,20.4939,2023,6.77,146,0,8,22,0.00,3,8,-,17,4,2,10,7,-,-,-
5497,Odisha,Cuttack,Abhimanpur,85.4375,20.4444,2023,7.60,1783,0,364,275,1.00,151,215,-,646,162,58,128,73,-,-,-
5498,Odisha,Cuttack,Baramba,85.3458,20.4175,2023,7.58,1082,0,250,107,0.00,60,59,-,335,66,41,59,2,-,-,-
5499,Odisha,Cuttack,Gopapur,85.2958,20.4028,2023,7.55,1148,0,156,170,0.00,44,15,-,243,67,18,53,53,-,-,-
5500,Odisha,Cuttack,Karadibandh,85.2847,20.3792,2023,7.67,2036,0,596,361,1.00,102,53,-,701,155,76,172,57,-,-,-
5501,Odisha,Cuttack,Sankhmiri,85.3361,20.3750,2023,8.15,1086,0,714,11,1.00,24,0,-,242,11,52,177,1,-,-,-
5502,Odisha,Cuttack,Chowdwar,85.9200,20.5175,2023,6.38,328,0,66,28,0.00,31,17,-,96,26,8,16,8,-,-,-
5503,Odisha,Cuttack,Balijhari 1,85.2194,20.4106,2023,7.68,2093,0,274,519,1.00,182,350,-,1005,264,83,135,116,-,-,-
5504,Odisha,Cuttack,Kanapur,85.1833,20.4056,2023,8.04,1836,0,636,297,0.00,106,52,-,674,169,61,111,139,-,-,-
5505,Odisha,Cuttack,"Narsingpur, Dw",85.0792,20.4569,2023,7.98,1451,0,537,67,1.00,53,3,-,507,116,52,42,1,-,-,-
5506,Odisha,Cuttack,Tigiria,85.5208,20.4650,2023,7.65,1181,0,191,192,0.00,77,10,-,366,82,39,68,2,-,-,-
5507,Odisha,Dhenkanal,Bhuban,85.8342,20.8844,2023,7.89,1046,0,467,2,0.00,1,3,-,196,56,14,60,50,-,-,-
5508,Odisha,Dhenkanal,Mathakaragola,85.6864,20.9003,2023,7.78,342,0,66,37,0.00,3,22,-,63,15,6,28,3,-,-,-
5509,Odisha,Dhenkanal,Samole,85.7986,20.9153,2023,7.51,263,0,47,26,0.00,7,10,-,49,12,5,13,11,-,-,-
5510,Odisha,Dhenkanal,Gondia1,85.8017,20.7639,2023,7.17,933,0,461,88,0.00,40,7,-,275,74,22,76,85,-,-,-
5511,Odisha,Dhenkanal,Joranda,85.7250,20.7792,2023,7.87,301,0,111,20,0.00,2,2,-,89,17,11,15,1,-,-,-
5512,Odisha,Dhenkanal,Sading,85.8383,20.8083,2023,7.87,1002,0,85,52,0.00,18,31,-,95,27,7,22,34,-,-,-
5513,Odisha,Dhenkanal,Babandh,85.4297,20.7206,2023,7.32,1329,0,267,207,1.00,62,100,-,515,125,48,59,13,-,-,-
5514,Odisha,Dhenkanal,Balmi,85.3258,20.7061,2023,7.68,456,0,125,32,0.00,3,59,-,151,43,10,21,2,-,-,-
5515,Odisha,Dhenkanal,Hindol 2,8S.,"No.,State,District,Location,Longitude,Latitude,Year,pH,EC",(�S.,"No.,State,District,Location,Longitude,Latitude,Year,pH,EC",(µS/cm,"at,CO3","(mg/L),HCO3,Cl","(mg/L),F","(mg/L),SO4,NO3,PO4,Total","Hardness,Ca","(mg/L),Mg","(mg/L),Na","(mg/L),K","(mg/L),Fe","(ppm),As","(ppb),U",(ppb)
8,Odisha,Dhenkanal,Baisingha,85.5931,20.9139,2023,7.61,468,0,34,112,0.00,7,56,-,112,23,13,55,2,-,-,-
5519,Odisha,Dhenkanal,Hatwari,85.6333,20.9097,2023,7.49,453,0,73,48,0.00,24,19,-,96,25,8,26,12,-,-,-
5520,Odisha,Dhenkanal,Kamakyanagar,85.5492,20.9314,2023,7.59,63,0,14,7,0.00,1,4,-,13,3,1,6,0,-,-,-
5521,Odisha,Dhenkanal,Mahulpal,85.5406,20.8947,2023,7.60,331,0,85,28,0.00,8,2,-,69,23,3,20,5,-,-,-
5522,Odisha,Dhenkanal,Batgaon,85.5875,20.9958,2023,7.87,298,0,150,14,0.00,2,5,-,112,30,9,9,14,-,-,-
5523,Odisha,Dhenkanal,Kankadahad,85.5719,21.0694,2023,7.75,820,0,335,46,0.00,2,6,-,195,57,12,67,5,-,-,-
5524,Odisha,Dhenkanal,Balrampur,85.4967,20.6822,2023,7.25,133,0,20,11,0.00,2,16,-,25,7,2,8,5,-,-,-
5525,Odisha,Dhenkanal,Dhaulpur,85.3569,20.7944,2023,7.37,2815,0,1614,25,0.00,13,12,-,915,203,98,203,18,-,-,-
5526,Odisha,Dhenkanal,Motanga,85.3119,20.8014,2023,7.69,953,0,344,54,1.00,60,43,-,341,48,53,53,2,-,-,-
5527,Odisha,Dhenkanal,Badajhara,85.3919,20.9414,2023,8.06,550,0,187,45,0.00,10,1,-,164,47,11,29,3,-,-,-
5528,Odisha,Dhenkanal,"Kandarsingha, Dw",85.3167,20.8667,2023,7.80,658,0,240,43,0.00,10,1,-,189,37,23,37,1,-,-,-
5529,Odisha,Dhenkanal,Muktaposi,85.4125,20.9375,2023,7.63,472,0,250,99,0.00,64,8,-,231,64,17,69,29,-,-,-
5530,Odisha,Dhenkanal,Singhada,85.3069,20.9458,2023,7.68,274,0,24,48,0.00,1,0,-,60,17,4,11,3,-,-,-
5531,Odisha,Dhenkanal,Baldiabandh,85.6525,20.5978,2023,7.44,198,0,4,27,0.00,2,29,-,30,7,3,15,2,-,-,-
5532,Odisha,Dhenkanal,Bandhnuagaon,85.6972,20.7117,2023,7.74,648,0,322,77,0.00,8,2,-,195,52,16,67,33,-,-,-
5533,Odisha,Dhenkanal,Bhapur2,85.4931,20.5625,2023,7.58,952,0,438,114,0.00,1,2,-,388,115,24,57,9,-,-,-
5534,Odisha,Dhenkanal,Dhenkanal,85.5989,20.6539,2023,7.70,882,0,499,56,1.00,25,4,-,300,53,40,74,45,-,-,-
5535,Odisha,Dhenkanal,Gangutia,85.5617,20.7175,2023,7.71,182,0,31,23,0.00,2,9,-,36,9,3,13,3,-,-,-
5536,Odisha,Dhenkanal,Jhumpuria,85.4853,20.5328,2023,7.86,1070,0,300,80,0.00,41,36,-,210,53,19,31,121,-,-,-
5537,Odisha,Dhenkanal,Kaimati,85.6733,20.6714,2023,7.68,795,0,115,105,0.00,50,17,-,183,43,18,48,18,-,-,-
5538,Odisha,Dhenkanal,Samacharanapur,85.6164,20.6375,2023,7.14,288,0,55,29,0.00,12,7,-,60,14,6,20,1,-,-,-
5539,Odisha,Dhenkanal,Shankarpur,85.5450,20.6039,2023,7.99,732,0,341,37,0.00,41,4,-,286,72,25,40,3,-,-,-
5540,Odisha,Jharsuguda,Belpahar,83.8486,21.8256,2023,8.06,678,0,232,106,0.70,18,2,-,250,30,43,40,41,-,-,-
5541,Odisha,Jharsuguda,Brajrajnagar,83.9319,21.8194,2023,7.78,356,0,61,74,0.47,26,25,-,105,24,11,37,4,-,-,-
5542,Odisha,Jharsuguda,Jharsuguda 2,84.0092,21.8858,2023,7.90,227,0,92,32,0.54,5,0,-,80,22,6,20,2,-,-,-
5543,Odisha,Jharsuguda,Kulabira,84.1681,21.8014,2023,7.97,534,0,171,85,0.54,20,8,-,205,50,19,44,2,-,-,-
5544,Odisha,Jharsuguda,Chadnimal,84.3214,21.9375,2023,7.79,289,0,153,21,0.93,3,1,-,115,30,10,19,2,-,-,-
S. No.,State,District,Location,Longitude,Latitude,Year,pH,EC (µS/cm at,CO3 (mg/L),HCO3,Cl (mg/L),F (mg/L),SO4,NO3,PO4,Total Hardness,Ca (mg/L),Mg (mg/L),Na (mg/L),K (mg/L),Fe (ppm),As (ppb),U (ppb)
5545,Odisha,Jharsuguda,Kirimera,84.1553,21.8775,2023,7.87,213,0,92,25,1.01,4,3,-,80,22,6,17,1,-,-,-
5546,Odisha,Jharsuguda,Laikera 1,84.2214,21.8944,2023,8.20,933,0,262,156,0.74,65,27,-,320,80,29,48,65,-,-,-
5547,Odisha,Jharsuguda,Bhikhampali,83.5717,21.7869,2023,7.09,565,0,195,103,1.15,9,2,-,195,38,24,51,2,-,-,-
5548,Odisha,Jharsuguda,Lakhanpur,83.7736,21.7611,2023,8.11,509,0,146,85,2.05,34,1,-,210,42,26,34,2,-,-,-
5549,Odisha,Jharsuguda,Singarpur,83.9642,21.5956,2023,7.86,142,0,61,18,0.41,4,0,-,70,24,2,3,1,-,-,-
5550,Odisha,Kendujhar,Anandapur 1,86.1175,21.2189,2023,7.36,712,0,422,46,0.00,32,27,-,354,105,22,51,1,-,-,-
5551,Odisha,Kendujhar,Nuagaon,86.1122,21.0953,2023,7.89,475,0,179,16,0.00,18,4,-,159,52,7,13,2,-,-,-
5552,Odisha,Kendujhar,Kanjipani,85.4764,21.4994,2023,7.71,78,0,38,1,0.00,1,1,-,28,7,3,3,1,-,-,-
5553,Odisha,Kendujhar,Sasang,85.6603,22.0133,2023,7.76,451,0,91,53,0.00,10,25,-,137,38,10,18,3,-,-,-
5554,Odisha,Kendujhar,Barpada,86.1167,21.1194,2023,7.62,389,0,44,37,0.00,9,62,-,93,27,6,24,2,-,-,-
5555,Odisha,Kendujhar,Ghasipura 1,86.1183,21.2089,2023,7.67,498,0,227,23,0.00,6,3,-,169,34,20,26,1,-,-,-
5556,Odisha,Kendujhar,Dhenkikote,85.8347,21.4931,2023,7.85,539,0,94,59,0.00,30,30,-,138,41,9,35,3,-,-,-
5557,Odisha,Kendujhar,"Ghatgaon 1, Dw",85.8944,21.3933,2023,7.99,389,0,329,29,1.00,4,0,-,246,68,18,33,1,-,-,-
5558,Odisha,Kendujhar,Patilo,85.7133,21.4244,2023,7.89,668,0,181,79,0.00,16,8,-,168,45,14,34,28,-,-,-
5559,Odisha,Kendujhar,Bhagamunda 1,85.8744,21.2675,2023,7.76,661,0,258,37,0.00,20,6,-,188,63,7,46,2,-,-,-
5560,Odisha,Kendujhar,Harichandanpur,85.7903,21.3403,2023,7.64,622,0,188,51,1.00,29,0,-,140,41,9,55,1,-,-,-
5561,Odisha,Kendujhar,"Katalaposhi, Dw",85.4331,21.3967,2023,7.68,295,0,118,10,0.00,3,5,-,96,32,4,8,4,-,-,-
5562,Odisha,Kendujhar,Ukunta,85.6900,21.8053,2023,7.87,232,0,72,19,0.00,2,7,-,68,18,6,10,2,-,-,-
5563,Odisha,Kendujhar,Joda,85.4417,22.0250,2023,7.72,310,0,66,19,0.00,28,20,-,79,16,10,19,3,-,-,-
5564,Odisha,Kendujhar,Rugudi,85.3347,22.0083,2023,6.62,176,0,19,26,0.00,1,20,-,43,11,4,11,2,-,-,-
5565,Odisha,Kendujhar,"Brahmanigaon, Dw",85.6072,21.6622,2023,8.06,1346,0,71,212,1.00,145,13,-,300,85,21,71,65,-,-,-
5566,Odisha,Kendujhar,Gopalpur2,85.7050,21.5653,2023,6.60,283,0,41,15,0.00,15,50,-,77,20,6,14,3,-,-,-
5567,Odisha,Kendujhar,Keonjhargarh 1,85.5978,21.6275,2023,8.07,1133,0,374,116,1.00,77,14,-,392,122,21,80,7,-,-,-
5568,Odisha,Kendujhar,Keonjhar-Ii Old Town,85.5808,21.6233,2023,7.97,834,0,308,34,0.00,50,24,-,273,84,15,31,29,-,-,-
5569,Odisha,Kendujhar,Naranpur,85.6453,21.6156,2023,7.93,748,0,179,108,1.00,17,1,-,209,53,18,49,0,-,-,-
5570,Odisha,Kendujhar,Padampur2,85.5875,21.7306,2023,7.86,723,0,105,100,0.00,33,34,-,186,58,10,47,1,-,-,-
5571,Odisha,Kendujhar,Balaniposi,85.7722,21.6844,2023,7.92,449,0,138,24,0.00,18,17,-,115,35,7,21,15,-,-,-
5572,Odisha,Kendujhar,Budhikapudi,85.7853,21.8272,2023,7.67,248,0,31,36,0.00,3,14,-,39,10,3,23,3,-,-,-
5573,Odisha,Kendujhar,Khiritangiri,85.6900,21.7153,2023,8.09,813,0,163,97,1.00,60,10,-,246,63,21,41,11,-,-,-
5574,Odisha,Kendujhar,Malliposi,85.8944,21.5806,2023,7.22,261,0,66,31,0.00,7,1,-,47,14,3,21,10,-,-,-
5575,Odisha,Kendujhar,Tangarpada,85.8467,21.6567,2023,7.41,171,0,48,17,0.00,3,4,-,35,10,2,16,1,-,-,-
5576,Odisha,Kendujhar,"Turmunga, Dw",85.8000,21.7883,2023,7.42,227,0,58,28,0.00,2,3,-,48,15,3,18,2,-,-,-
5577,Odisha,Kendujhar,Barbil,85.9386,21.6783,2023,7.81,503,0,118,58,0.00,22,5,-,115,28,11,40,3,-,-,-
5578,Odisha,Kendujhar,Gajitangri,85.9103,21.7411,2023,7.50,290,0,42,25,0.00,6,38,-,60,19,3,17,9,-,-,-
5579,Odisha,Kendujhar,Udaipur,85.8578,21.7033,2023,8.07,394,0,202,16,0.00,1,0,-,153,37,15,16,0,-,-,-
5580,Odisha,Kendujhar,Bimala,85.4006,21.1939,2023,8.01,633,0,179,50,0.00,18,23,-,219,43,27,17,5,-,-,-
5581,Odisha,Kendujhar,Gonasika,85.5347,21.4975,2023,7.56,55,0,19,5,0.00,2,1,-,17,5,1,3,1,-,-,-
5582,Odisha,Kendujhar,Jagmohanpur,85.3350,21.4350,2023,7.87,771,0,94,142,0.00,14,16,-,252,59,25,23,2,-,-,-
5583,Odisha,Kendujhar,Khuntapada 1,85.4122,21.3300,2023,8.12,307,0,169,1,0.00,1,3,-,115,17,17,13,1,-,-,-
5584,Odisha,Kendujhar,Padang,85.4833,21.2667,2023,7.71,227,0,51,21,0.00,5,13,-,55,14,5,11,7,-,-,-
5585,Odisha,Kendujhar,Patakhali,85.5317,21.1906,2023,8.06,607,0,187,45,0.00,18,41,-,222,50,23,19,1,-,-,-
